name,position
Gotabhaya Rajapaksa,Minister of Defence
Ranil Wickremesinghe,"Minister of Finance, Economic Stabilization and National Policies"
Nimal Siripala de Silva,"Minister of Ports, Shipping and Aviation"
G.L.Peiris,Minister of Foreign Affairs
Dinesh Gunawardena,"Minister of Public Administration, Home Affairs, Provincial Councils and Local Government"
Douglas Devananda,Minister of Fisheries
Susil PremaJayantha,Minister of Education
Bandula Gunawardena,Minister of Transport
Bandula Gunawardena,Minister of Highways
Bandula Gunawardena,Minister of Mass Media
Keheliya Rambukwella,Minister of Health
Keheliya Rambukwella,Minister of Water Supply
Mahinda Amaraweera,Minister of Agriculture
Mahinda Amaraweera,Minister of Wildlife & Forest Resources Conservation
Wijayedasa Rajapaksa,"Minister of Justice, Prison Affairs and Constitutional Reforms"
Harin Fernando,Minister of Tourism
Harin Fernando,Minister of Lands
Ramesh Pathirana,Minister of Plantation Industries
Ramesh Pathirana,Minister of Industries
Prasanna Ranatunga,Minister of Urban Development and Housing
Vidura Wickramanayaka,"Minister of Buddhasasana, Religious and Cultural Affairs"
Kanchana Wijesekera,Minister of Power
Kanchana Wijesekera,Minister of Energy
Naseer Ahamed,Minister of Environment
Roshan Ranasinghe,Minister of Irrigation
Roshan Ranasinghe,Minister of Sports & Youth Affairs
Manusha Nanayakkara,Minister of Labour and Foreign Employment
Tiran Alles,Minister of Public Security
Nalin Fernando,"Minister of Trade, Commerce and Food Security"
