item,itemLabel,startDate,endDate,sourceDate,psid
Q559898,D. M. Jayaratne,1994-08-19,2001-12-12,2022-06-19,Q559898-4E2FD57D-97CD-4B5D-8FD1-12A599FC8885
Q7387372,S. B. Dissanayake,2001-12-12,2004-04-10,2022-06-19,Q7387372-C79D9B09-CE06-47F3-AD94-DF503274275B
Q3536605,Douglas Devananda,2004-04-10,2005-07-27,2022-06-19,Q3536605-A1D80249-2E87-4AB6-8BA1-55008E26A6F3
Q314009,Ratnasiri Wickremanayake,2005-07-27,2005-11-23,2022-06-19,Q314009-0D7AB65D-3AD0-4279-AFC3-9E473A10A9B5
Q6737124,Maithripala Sirisena,2005-11-23,2010-04-23,2022-06-19,Q6737124-6B87BF89-C9D1-4744-8452-394B45C83A94
Q6734031,Mahinda Yapa Abeywardena,2010,2015-01-12,,Q6734031-D84E8307-1102-40A6-9829-6FDC9C4B1207
Q12984402,Duminda Dissanayake,2015-01-12,2018-05-01,2022-06-19,Q12984402-FA34D52F-C198-48BE-B000-2444D1C5751A
Q10969775,Mahindananda Aluthgamage,2020-08-12,2022-04-18,,Q10969775-CA195E4E-69EA-4863-82CC-955FD5705B67
Q16197383,Janaka Wakkumbura,2022-04-18,2022-05-12,,Q16197383-68876486-DD75-4B2B-8230-4D6ED86D9D83
Q6734019,Mahinda Amaraweera,2022-05-12,,,Q6734019-469F20D0-31C1-4A56-B0AA-B264AB3FD81A
