id,name,relationship,relative,relativename
Q110644109,Ioma Rajapaksa,spouse,Q1538702,Gotabaya Rajapaksa
Q13652295,Navin Dissanayake,father,Q5520204,Gamini Dissanayake
Q1538702,Gotabaya Rajapaksa,father,Q5203479,D. A. Rajapaksa
Q1538702,Gotabaya Rajapaksa,sibling,Q3179975,Basil Rajapaksa
Q1538702,Gotabaya Rajapaksa,sibling,Q3529190,Chamal Rajapaksa
Q1538702,Gotabaya Rajapaksa,sibling,Q57338,Mahinda Rajapaksa
Q1538702,Gotabaya Rajapaksa,spouse,Q110644109,Ioma Rajapaksa
Q1848979,Namal Rajapaksa,father,Q57338,Mahinda Rajapaksa
Q1848979,Namal Rajapaksa,mother,Q7498270,Shiranthi Rajapaksa
Q1848979,Namal Rajapaksa,spouse,Q111482877,Limini Weerasinghe
Q194291,Sirimavo Bandaranaike,child,Q207432,Chandrika Kumaratunga
Q194291,Sirimavo Bandaranaike,child,Q612582,Anura Bandaranaike
Q194291,Sirimavo Bandaranaike,spouse,Q313997,S. W. R. D. Bandaranaike
Q207432,Chandrika Kumaratunga,father,Q313997,S. W. R. D. Bandaranaike
Q207432,Chandrika Kumaratunga,mother,Q194291,Sirimavo Bandaranaike
Q207432,Chandrika Kumaratunga,spouse,Q3534760,Vijaya Kumaranatunga
Q3179975,Basil Rajapaksa,sibling,Q1538702,Gotabaya Rajapaksa
Q3179975,Basil Rajapaksa,sibling,Q57338,Mahinda Rajapaksa
Q3529190,Chamal Rajapaksa,child,Q7490546,Shasheendra Rajapaksa
Q3529190,Chamal Rajapaksa,child,Q98118457,Shamindra Rajapaksa
Q3535025,V. Anandasangaree,child,Q21160212,Gary Anandasangaree
Q57338,Mahinda Rajapaksa,child,Q109302676,Rohitha Rajapaksha
Q57338,Mahinda Rajapaksa,child,Q1848979,Namal Rajapaksa
Q57338,Mahinda Rajapaksa,child,Q20642485,Yoshitha Rajapaksa
Q57338,Mahinda Rajapaksa,child,Q98118007,Rohitha Rajapaksa
Q57338,Mahinda Rajapaksa,sibling,Q1538702,Gotabaya Rajapaksa
Q57338,Mahinda Rajapaksa,sibling,Q3179975,Basil Rajapaksa
Q57338,Mahinda Rajapaksa,sibling,Q3529190,Chamal Rajapaksa
Q57338,Mahinda Rajapaksa,spouse,Q7498270,Shiranthi Rajapaksa
Q612582,Anura Bandaranaike,father,Q313997,S. W. R. D. Bandaranaike
Q612582,Anura Bandaranaike,mother,Q194291,Sirimavo Bandaranaike
Q660397,T. Maheswaran,spouse,Q7929262,Vijayakala Maheswaran
Q6796853,Mayantha Dissanayake,father,Q5520204,Gamini Dissanayake
Q7387380,S. B. Nawinne,spouse,Q16018610,Soma Kumari Tennakoon
Q7402667,Sajith Premadasa,father,Q472323,Ranasinghe Premadasa
Q7402667,Sajith Premadasa,mother,Q22279741,Hema Premadasa
Q7498270,Shiranthi Rajapaksa,sibling,Q98117692,Nishantha Wickramasinghe
Q7498270,Shiranthi Rajapaksa,spouse,Q57338,Mahinda Rajapaksa
Q7633463,Sudarshani Fernandopulle,spouse,Q966982,Jeyaraj Fernandopulle
Q7917018,Vasudeva Nanayakkara,relative,Q5710936,Hemakumara Nanayakkara
Q7929262,Vijayakala Maheswaran,spouse,Q660397,T. Maheswaran
Q966982,Jeyaraj Fernandopulle,spouse,Q7633463,Sudarshani Fernandopulle
Q983402,Ranil Wickremesinghe,father,Q21078155,Cyril Esmond Lucien Wickremesinghe
Q983402,Ranil Wickremesinghe,spouse,Q6737193,Maitree Wickramasinghe
