@@,item,itemlabel,startdate,enddate
+++,Q207432,Chandrika Kumaratunga,1994-11-12,2001-12-12
->,Q17011652,Tilak Marapana,2001-12-12,2003-11->2003-11-04
+++,Q207432,Chandrika Kumaratunga,2003-11-04,2005-11-19
+++,Q57338,Mahinda Rajapaksa,2005-11-19,2015-01-08
